Compte,lev,Type
johnl,73.0,Human
LuckyCyborg,34.0,Human
GiladShoham,54.5,Human
gheeres,66.0,Human
zml2008,23.0,Human
pdeffebach,100.0,Human
tanema,40.0,Human
jljsj33,11.0,Human
casperdcl,26.0,Human
grs,23.0,Human
dgaubert,34.0,Human
singku,36.0,Human
jedisct1,27.0,Human
dwrensha,39.0,Human
herrstucki,68.5,Human
gabrieldoty,27.0,Human
chkr1011,39.0,Human
sns-seb,33.0,Human
opeongo,40.5,Human
nickl-,50.0,Human
c4milo,40.0,Human
franzliedke,34.0,Human
misi,38.0,Human
guybedford,31.0,Human
msimmer,26.0,Human
pieroxy,66.5,Human
jamescyeh,39.0,Human
Tigraine,57.0,Human
Andrey1994,100.0,Human
evhub,40.0,Human
yajra,36.5,Human
szimek,39.0,Human
f,50.0,Human
jennybc,32.5,Human
krainboltgreene,30.5,Human
mcfiredrill,37.0,Human
vieira,50.5,Human
ddgenome,52.5,Human
akrantz,63.0,Human
berkerpeksag,66.5,Human
msiemens,28.0,Human
eugene-eeo,34.0,Human
chiradeep,36.0,Human
oyvindln,22.5,Human
JeremySkinner,37.0,Human
emerali,52.5,Human
keithduncan,31.0,Human
bneumann,35.0,Human
jhchen,34.0,Human
koral--,27.0,Human
awalterschulze,28.0,Human
LostCrew,68.5,Human
dominikh,35.0,Human
grlee77,26.0,Human
okuryu,26.0,Human
dtmilano,23.0,Human
publicarray,29.0,Human
nepalez,33.0,Human
shuttle1987,68.0,Human
janko,28.0,Human
targos,24.0,Human
kou,23.0,Human
mbest,31.0,Human
peterbourgon,28.5,Human
Algunenano,36.5,Human
leastprivilege,67.0,Human
AnthonyLloyd,36.0,Human
ArtSabintsev,36.5,Human
ADmad,35.0,Human
StephenVavasis,47.0,Human
giuseppeg,34.0,Human
sgratzl,47.0,Human
Igloczek,64.0,Human
scientistnik,58.0,Human
Stranger6667,26.0,Human
sriv,69.0,Human
vogloblinsky,31.0,Human
icebob,63.0,Human
axten,71.5,Human
m-pilia,63.5,Human
carltongibson,32.0,Human
Zizzamia,32.0,Human
carlpett,63.5,Human
tabacitu,37.0,Human
SSheldon,41.0,Human
chilijung,33.5,Human
mitchellhenke,47.0,Human
minrk,39.0,Human
pjlsergeant,30.0,Human
bajtos,31.0,Human
Roger-luo,80.0,Human
jumph4x,85.5,Human
annismckenzie,32.0,Human
mjackson,31.0,Human
FoggyFinder,34.0,Human
Happypig375,7.0,Human
Marwes,69.0,Human
greg0ire,31.0,Human
marci4,29.0,Human
zaidka,52.5,Human
jamescgibson,71.0,Human
Lonami,29.0,Human
puzrin,26.0,Human
DanielYKPan,59.0,Human
