Compte,empty,Type
MscrmTools,0.0,Human
sonaye,55.55555555555556,Human
nfriedly,8.333333333333332,Human
marionebl,2.2222222222222223,Human
jameswnl,0.0,Human
javan,0.0,Human
akhila-raju,0.0,Human
jschr,100.0,Human
mkaz,0.0,Human
Syndace,45.45454545454545,Human
joker234,0.0,Human
dpvc,0.0,Human
zorkow,0.0,Human
kvark,0.0,Human
rgritti,66.66666666666666,Human
grahammendick,0.0,Human
jamescryer,0.0,Human
paragonie-scott,0.0,Human
zonyitoo,0.0,Human
sevenTiny,50.0,Human
bdwain,7.142857142857142,Human
PLNech,15.789473684210526,Human
djzager,20.0,Human
casperisfine,0.0,Human
muan,0.0,Human
jpichon,0.0,Human
bartolkaruza,0.0,Human
trevorstephens,7.894736842105263,Human
axic,42.857142857142854,Human
samdark,0.0,Human
zidad,0.0,Human
perry-mitchell,1.8691588785046727,Human
etix,7.6923076923076925,Human
