Compte,lev,Type
MaikuB,12.0,Human
dasiths,100.0,Human
saniales,100.0,Human
bitbager,37.0,Human
zBritva,100.0,Human
nical,100.0,Human
akurilov,100.0,Human
vanniktech,100.0,Human
marc92w,100.0,Human
GreLI,9.0,Human
dkukharau,100.0,Human
bjodah,100.0,Human
eternoendless,33.0,Human
Valodya,100.0,Human
rashmigs1993,35.0,Human
doroginin,100.0,Human
osherdp,100.0,Human
krasoffski,100.0,Human
shekhardahore,6.0,Human
thrawn01,17.0,Human
andresgnlez,100.0,Human
phaazon,10.0,Human
daniel-nichter,10.0,Human
acouch,100.0,Human
nathanbowser,10.0,Human
mattsgarlata,16.0,Human
missinglink,21.0,Human
vmx,33.0,Human
achingbrain,100.0,Human
bakoe,100.0,Human
davegurnell,100.0,Human
pvillega,100.0,Human
eduardoboucas,100.0,Human
unlucio,34.0,Human
AaronHForgeFlow,100.0,Human
bsnacks000,100.0,Human
bojeil-google,9.0,Human
ngoldbaum,8.0,Human
vperron,100.0,Human
johnwmillr,100.0,Human
javagl,100.0,Human
Robdel12,26.0,Human
andrew-boyarshin,11.0,Human
mungojam,6.0,Human
hvanbakel,100.0,Human
jdef,17.0,Human
johannwagner,65.0,Human
felixrindt,100.0,Human
ssm,100.0,Human
ralphtheninja,21.0,Human
mafintosh,100.0,Human
ianstormtaylor,100.0,Human
0xjac,100.0,Human
gutschilla,13.0,Human
okartau,37.0,Human
erikbarke,28.0,Human
Tanc009,77.0,Human
stof,3.0,Human
lyrixx,21.0,Human
taflanidi,100.0,Human
gastonprieto,100.0,Human
shi-yuan,100.0,Human
lekkas,28.0,Human
ChadKillingsworth,100.0,Human
jarun,100.0,Human
Battenburg,100.0,Human
djmitche,11.0,Human
petemoore,11.5,Human
rynam0,15.0,Human
balintk,100.0,Human
odrotbohm,10.0,Human
CrossR,10.5,Human
metaodi,25.0,Human
iloveitaly,17.0,Human
jzaleski,10.0,Human
micvbang,100.0,Human
markus-wa,100.0,Human
erwinvaneyk,9.0,Human
gmoura,40.5,Human
zachmoody,33.0,Human
Nyholm,35.0,Human
mkorszun,35.0,Human
nemesisdesign,11.0,Human
rohithasrk,16.0,Human
GuillaumeJasmin,100.0,Human
jamesplease,0.0,Human
dpb587-pivotal,29.0,Human
CendioOssman,26.0,Human
DirectXMan12,30.0,Human
SebastienElet,100.0,Human
foxriver76,14.0,Human
hippiehunter,21.0,Human
akyoto,100.0,Human
divyenduz,31.5,Human
timsuchanek,100.0,Human
apfelbox,33.5,Human
keichinger,31.5,Human
dannyjacobs,100.0,Human
phogel,100.0,Human
nc6,7.0,Human
wadackel,26.0,Human
TylerCarlson1,25.0,Human
jbogard,29.0,Human
riceric22,100.0,Human
radu-matei,47.0,Human
Niko-r,0.0,Human
danschalow,39.0,Human
ripienaar,18.0,Human
justuseapen,14.0,Human
danwalmsley,100.0,Human
feross,100.0,Human
messense,100.0,Human
LKI,8.0,Human
Samuell1,17.0,Human
jaibatrik,100.0,Human
mdantonio,43.0,Human
mteodori,5.0,Human
bhauman,26.0,Human
riccardonar,25.0,Human
kasparsd,100.0,Human
frerich,30.0,Human
floehopper,3.0,Human
roblopez,100.0,Human
preaction,36.0,Human
autarch,100.0,Human
piotrmurach,100.0,Human
vmchukky,100.0,Human
chelm,100.0,Human
BenoitZugmeyer,100.0,Human
ttacon,24.0,Human
j-f1,100.0,Human
JayVora-SerpentCS,100.0,Human
tiliev,28.0,Human
GuilhemN,16.0,Human
dr-dimitru,3.0,Human
beanieboi,100.0,Human
gregsdennis,100.0,Human
phamtuan2993,100.0,Human
garraspin,100.0,Human
davesmith00000,100.0,Human
avasquez614,13.0,Human
wolfy-j,100.0,Human
poy,6.0,Human
mweststrate,100.0,Human
jjd314,35.5,Human
vberger,100.0,Human
boopathi,100.0,Human
cekk,100.0,Human
daffidwilde,100.0,Human
lafita,100.0,Human
YannickJadoul,19.0,Human
coelho,100.0,Human
Jason3S,12.0,Human
Mahsaap,12.0,Human
janeeisenstein,100.0,Human
Sacharified,100.0,Human
jhkennedy,4.0,Human
insomniacslk,100.0,Human
ericsoderberghp,21.0,Human
vasili-v,7.0,Human
sudip-aubergine,18.0,Human
tonivade,100.0,Human
wesm,35.0,Human
dbatiste,27.0,Human
Hironsan,100.0,Human
alixdamman,2.0,Human
chinedufn,100.0,Human
alisonjoseph,35.5,Human
seejamescode,100.0,Human
StevenMaude,17.0,Human
kb2623,100.0,Human
dominikholler,24.0,Human
guewen,9.0,Human
sbidoul,100.0,Human
lmignon,5.0,Human
stalniy,5.0,Human
supercodepoet,15.0,Human
leleuj,100.0,Human
juanlopez1,100.0,Human
basvanbeek,5.0,Human
afshin,39.0,Human
laurentlb,32.0,Human
alandonovan,7.0,Human
jgrund,40.0,Human
larsonjj,7.0,Human
chazeon,30.0,Human
omangin,11.0,Human
iocanel,100.0,Human
dominictarr,100.0,Human
idubnori,100.0,Human
narr,0.0,Human
Sambego,62.0,Human
mjs,14.0,Human
Davo36,24.0,Human
abetomo,17.0,Human
slimslenderslacks,81.0,Human
vaastav,100.0,Human
fractalwrench,34.0,Human
jdsutherland,10.0,Human
imedina,100.0,Human
andy-zhangtao,25.0,Human
skt44,37.5,Human
shepmaster,100.0,Human
carllerche,100.0,Human
Drapegnik,100.0,Human
stepancheg,100.0,Human
DiegoRBaquero,22.0,Human
GlenDC,12.0,Human
udl,18.0,Human
stephendonner,100.0,Human
lawder,100.0,Human
Helow19274,100.0,Human
python273,100.0,Human
j0tunn,100.0,Human
nange,100.0,Human
danez,100.0,Human
henrylee2cn,48.0,Human
diasbruno,100.0,Human
RichardKnop,24.0,Human
davehunt,100.0,Human
JustBlackBird,100.0,Human
everplays,16.0,Human
tkruse,37.0,Human
mbabker,100.0,Human
wilsonge,100.0,Human
mmerickel,32.0,Human
swlkr,100.0,Human
alexpan0610,100.0,Human
dormando,33.0,Human
shawnbot,100.0,Human
AkihiroSuda,26.0,Human
dlipovetsky,33.0,Human
senntyou,100.0,Human
lamhieu-vk,100.0,Human
maslianok,20.0,Human
ashleygould,0.0,Human
celandro,100.0,Human
andrehp,36.0,Human
joshuaskelly,100.0,Human
bakape,100.0,Human
stevepiercy,15.0,Human
gedge,100.0,Human
mirko-pagliai,100.0,Human
maxiwoj,26.0,Human
SylwiaGargula,100.0,Human
tisba,100.0,Human
Julien-Molina,100.0,Human
LinusU,100.0,Human
mindthegab,26.0,Human
jasonz1987,0.0,Human
36degrees,18.0,Human
nicolafranchini,25.0,Human
DmitryBaranovskiy,32.0,Human
kiereleaseuser,21.0,Human
Senyoret1,100.0,Human
gz-c,19.0,Human
bitprophet,100.0,Human
FlyingBird95,21.0,Human
smoench,18.0,Human
Mulugruntz,100.0,Human
scottinet,100.0,Human
cryptobioz,100.0,Human
vektah,26.0,Human
displague,25.0,Human
kevinadi,100.0,Human
rpl,35.0,Human
whiskeysierra,20.0,Human
JeroenDeDauw,100.0,Human
mwjames,8.0,Human
gambol99,25.0,Human
calum-chamberlain,100.0,Human
adkerr,14.0,Human
leejarvis,8.0,Human
shin-,29.0,Human
epheph,37.0,Human
joeruello,11.0,Human
BrockReece,18.0,Human
brockpetrie,6.5,Human
brarcher,16.0,Human
cosven,100.0,Human
mpsido,100.0,Human
hanwen,18.0,Human
mminns,12.5,Human
b4b4r07,13.0,Human
scrapper,8.0,Human
j5ik2o,100.0,Human
NOtherDev,31.0,Human
epels,100.0,Human
matkoch,100.0,Human
kazuhikoarase,100.0,Human
temsa,100.0,Human
timglabisch,24.0,Human
theofidry,100.0,Human
duergner,48.0,Human
danpersa,0.0,Human
gdementen,7.0,Human
dokato,100.0,Human
mmoreram,31.0,Human
palashmon,28.0,Human
martin31821,29.0,Human
seven1986,20.0,Human
